VIOLATION_TYPE_DESC,VIOLATION_CODE,VIOLATION_PROC_DESC
P,P012,DISOBEYING OFFICIAL SIGN
P,P170,FAILURE TO DISPLAY CURRENT TAGS
P,P011,PARK MORE THAN 12 INCHES FROM CURB
P,P159,NO STOPPING OR STANDING IN AM RUSH HOUR ZONE
P,P168,NO FRONT TAGS.
P,P304,INDIVID W/ DISABILITIES ONLY UNAUTH. USE RSRVD SP
P,NO VIOL,
P,P007,PARK IN A BUS ZONE
P,P055,NO PARKING ANYTIME
P,P034,"METER, FAIL TO DEPOSIT PAYMENT"
P,P031,UNAUTHORIZED VEHICLE IN LOADING ZONE
P,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT
P,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE
P,P047,PARK ON SIDEWALK OR AREA RESERVED FOR PEDESTRIANS
P,P302,GOVERNMENT VEHICLE PARKING ONLY
P,P039,PARK AT EXPIRED METER
P,P045,PARK IN RESERVED EMBASSY SPACE
P,P002,STAND OR PARK IN ALLEY
P,P113,FAIL TO DISPLAY CURRENT INSPECTION STICKER
P,P010,OBSTRUCTING CROSSWALK
P,P259,NO STOPPING OR STANDING IN PM RUSH HOUR ZONE
P,P020,PARK WITHIN 10 FEET OF A FIRE HYDRANT
P,P269,NO STANDING ANYTIME
P,P319,PARK IN BUS STOP OR ZONE DURING RUSH HOUR
P,P316,IMPROPER DISPLAY OF TAGS
P,P315,ILLEGIBLE TAGS.
P,P022,PARK ON TAXICAB STAND
P,P029,PARK WITH LEFT WHEEL TO THE CURB
P,P303,RESERVED RESIDENTIAL SPACE PERSONS W/ DISABILTIES
P,P050,PARKED WITHIN 25 FEET OF A STOP SIGN
P,P015,"OBSTRUCTING ENTRANCE OF PKG GARAGE, DOOR OR GATE"
P,P001,PARK ABREAST OF ANOTHER VEHICLE
P,P429,"BUS LANE, UNAUTHORIZED VEHICLE PARKED IN"
V,P015,"OBSTRUCTING ENTRANCE OF PKG GARAGE, DOOR OR GATE"
P,P014,EMERGENCY NO PARKING
P,P043,PARK TO REDUCE ROADWAY TO LESS THAN 10 FEET
P,P385,"STOPPING, STANDING OR PARKING VEHICLE IN BIKE LANE"
P,P003,RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT
M,NO VIOL,
P,P332,ABANDON VEHICLE ON PUBLIC/PRIVATE PROPERTY VIOL 1
P,P017,EXCESSIVE IDLING.
P,P318,"PARK IN MEDIAN, ISLAND, OR SAFETY ZONE"
P,P314,FAIL TO PROPERLY AFFIX VALIDATION STICKERS
P,P322,PARK OVERTIME IN TIMED ZONE
P,P104,FAIL TO DISPLAY CURRENT DC VEHICLE TAGS
P,P059,PARK IN A FIRE LANE
P,P271,NO STOPPING ANYTIME
P,P069,NO REAR BUMPER
P,P013,PARK WITHIN 5 FEET OF DRIVEWAY OR ALLEY
P,P434,UNAUTHORIZED  USE IND. W/ DISABILITIES PARK PRIV
P,P320,PARKED IN DRIVEWAY OR ALLEY TO OBSTRUCT SIDEWALK
P,P270,NO STOPPING OR STANDING ANYTIME
P,P056,NO PARKING 7 AM TO 6:30 PM
P,P090,IMPROPERLY DISPLAYED TAGS
P,P077,MOTOR RUNNING UNATTENDED
P,P093,OBSTRUCTED TAGS.
P,P076, 
P,P005,PARK ON OR UNDER AN ELEVATED STRUCTURE
P,P281,FAIL TO DISPLAY A MULTISPACE METER RECEIPT
P,P280,EXPIRATION TIME ON METER RECEIPT LAPSED
P,P284,EXPIRED MULTISPACE METER RECEIPT IN LOADING ZONE
P,P199,PARK IN A DESIGNATED ENTRANCE
P,P057,NO PARKING SPECIFIC HOURS
P,P112,FAIL TO REPORT FOR INSPECTION.
P,P169,NO REAR TAGS.
P,P289,FAIL TO PROPERLY DISPLAY  MULTISPACE METER RECEIPT
P,P307,PARK IN RESERVED SPACE FOR MOTORCYCLES ONLY
P,P058,NO STANDING COMMERCIAL VEHICLE
P,P018,OBSTRUCTING FIRE ESCAPE
P,P278,FAIL TO DISPLAY MULTI-SPACE METER RECEIPT PROPERLY
P,P097,PARKING MISC
P,P331,TINTED WINDOWS
P,P386,RELOCATE TOW FEE
P,P306,"PARK ON MEDIAN, ISLAND, OR SAFETY ZONE"
P,P024,PARK LESS THAN 25 FEET FROM AN INTERSECTION
P,P300,FAIL TO TURN WHEEL TO CURB.
P,P404,"TINTED WINDOWS , FAIL TO COMPLY 1ST"
P,P023,OBSTRUCT AN INTERSECTION
P,P072,FAIL TO LOCK AND REMOVE KEY FROM IGNITION WHEN PKD
T,P417,NON-TAXI ON HACK STAND
T,P120,TAXICAB LOITERING.
P,P109,UNSAFE MECHANICAL CONDITION
P,P111,EXPIRED INSPECTION REJECTION STICKER
V,P076, 
P,P172,FAILURE TO SECURE DC TAGS
P,P173,NO PARKING STREET CLEANING
P,P365,RESIDENTIAL PMT PKG 3RD OFFENSE CALENDAR YEAR
P,P363,RESIDENTIAL PMT PKG 2ND OFFENSE CALENDAR YEAR
P,P046,PARK IN SCHOOL ZONE
P,P026,PARK ON A LAWN
P,P311,PARK BETWEEN ISLAND OR SAFETY ZONE
P,P037,PARK OVERTIME AT A METER
P,P418,"STREETCAR-PARK, STOP  STAND VEH  GUIDEWAY/PLATFORM"
P,P338,DANGEROUS VEHICLE ON PRIV/PUBLIC PROP VIOL 1
P,P413,"TRAILER, FRT DWELLING, SCHOOL, HOSPITAL"
P,P042,PARK ON PUBLIC SPACE
P,P025,PARK LESS THAN 40 FEET FROM AN INTERSECTION
P,P035,NOT PARKED IN A METER SPACE
P,P016,OPP OR BESIDE CONTRUCTION SITE OBSTRUCTING TRAFFIC
P,P216,FAIL TO DISPLAY MULTI SPACE RECEIPT  BALLPARKEVENT
P,P282,PARKED IN A RESERVED CAR SHARING SPACE
P,P430,IND. W/ DISABILITIES METER  NO PROOF OF PAYMENT
P,P285,FAIL TO DISPLAY METER RECEIPT IN A LOADING ZONE
P,P054,PARKED ON DESIGNATED VENDOR AREA
P,P004,PARK VEHICLE IN FRONT OF A BARRICADE
P,P410,"VEHICLE > 22'  PUBLIC ST FRT DWELLING,SCHOOL, HOSP"
P,P053,PARKED LESS THAN 3 FEET FROM ANOTHER VEHICLE
P,P419,"STREETCAR-PARK, STOP  STAND VEH  GUIDEWAY/PLATFORM"
P,P040,FAIL TO PARK PARALLEL
P,P373,NOT PARKED IN PARKING METER SPACE BZ
P,P431,IND. W/ DISABILITIES AMOUNT OF PAYMENT HAS LAPSED
P,P412,"VEHICLE HAUL TRASH, DEBRIS OR JUNK"
P,P396,RPP BEYOND 2 HOUR PERIOD W/O VALID PERMIT BZ
P,P369,RPP BALLPARK ZONE 3RD OFFENSE CALENDAR YEAR
P,P198,PARK WITHIN 20 FEET OF A BUS STOP OR ZONE
P,P019,PARK WITHIN 20 FEET OF A FIREHOUSE ENTRANCE
P,P367,RESIDENTIAL PMT PKG  BALLPARK ZONE 2ND OFF CAL YR
P,P032,OVERSIZED COMM VEHICLE PARKED AT A METER
P,P403,NO PARKING EXC. ELECTRIC VEHICLE WHILE PLUGGED IN
P,P409,"VEH >15 PASS, PUBLIC ST FRT DWELLING, SCH, HOSP,"
P,P370,FAILURE TO DISPLAY MULI-SPACE RECEIPT PROPERLY BZ
P,P239,EXPIRED HANDICAP METER
P,P387,NOT PARKED IN PARKING METER SPACE  BE
P,P421,"COMMERCIAL PMT PARK DECAL, FAIL DISPLAY PROPERLY"
P,P395,RPP BEYOND 2 HOUR PERIOD W/O VALID PERMIT BE
P,P391,RPP BALLPARK EVENTS 2ND OFFENSE CALENDAR YEAR
P,P411,"VEH > 8' WIDE PUBLIC ST, FRT DWELLING, SCHOOL,HOSP"
P,P346,VALET PARKING/STAGING ZONE
